instrument,estimator,variable,h,theta_25bp,lo_25bp,hi_25bp
z_gcs_1m_adj_sum,BLP-FMAR,ip,38,-0.970390,-2.320315,0.379535
z_gcs_1m_adj_sum,BLP-FMAR,ip,39,-0.856893,-2.054612,0.340826
z_gcs_1m_adj_sum,BLP-FMAR,ip,40,-0.772236,-1.551190,0.006718
z_gcs_1m_adj_sum,BLP-FMAR,ip,41,-0.668225,-1.384997,0.048547
z_gcs_1m_adj_sum,BLP-FMAR,ip,42,-0.560090,-1.295518,0.175338
z_gcs_1m_adj_sum,BLP-FMAR,ip,43,-0.465732,-1.189477,0.258013
z_gcs_1m_adj_sum,BLP-FMAR,ip,44,-0.378192,-1.379498,0.623114
z_gcs_1m_adj_sum,BLP-FMAR,ip,45,-0.354588,-1.375393,0.666218
z_gcs_1m_adj_sum,BLP-FMAR,ip,46,-0.274997,-1.493806,0.943812
z_gcs_1m_adj_sum,BLP-FMAR,ip,47,-0.196900,-1.558996,1.165197
z_gcs_1m_adj_sum,BLP-FMAR,ip,48,-0.158784,-1.587163,1.269595
z_gcs_1m_adj_sum,BLP-FMAR,hicp_sa,0,-0.037675,-0.075216,-0.002381
z_gcs_1m_adj_sum,BLP-FMAR,hicp_sa,1,-0.002883,-0.079316,0.073551
z_gcs_1m_adj_sum,BLP-FMAR,hicp_sa,2,0.026226,-0.112995,0.165446
z_gcs_1m_adj_sum,BLP-FMAR,hicp_sa,3,0.046673,-0.105693,0.199038
z_gcs_1m_adj_sum,BLP-FMAR,hicp_sa,4,0.056670,-0.097638,0.210978
z_gcs_1m_adj_sum,BLP-FMAR,hicp_sa,5,0.071171,-0.093891,0.236233
z_gcs_1m_adj_sum,BLP-FMAR,hicp_sa,6,0.083996,-0.081476,0.249468
z_gcs_1m_adj_sum,BLP-FMAR,hicp_sa,7,0.090380,-0.073806,0.254565
z_gcs_1m_adj_sum,BLP-FMAR,hicp_sa,8,0.097978,-0.078296,0.274252
z_gcs_1m_adj_sum,BLP-FMAR,hicp_sa,9,0.109882,-0.075276,0.295040
z_gcs_1m_adj_sum,BLP-FMAR,hicp_sa,10,0.120324,-0.055410,0.296058
z_gcs_1m_adj_sum,BLP-FMAR,hicp_sa,11,0.126572,-0.057830,0.310974
z_gcs_1m_adj_sum,BLP-FMAR,hicp_sa,12,0.132262,-0.059401,0.323925
z_gcs_1m_adj_sum,BLP-FMAR,hicp_sa,13,0.128100,-0.064133,0.320332
